project_id,sector,state,original_cost,revised_cost,planned_duration_months,project_age_months,physical_progress,financial_progress,milestones_total,milestones_delayed,land_acquisition_pending,clearance_pending,funding_issue,contractor_issue,previous_schedule_deviation,is_delayed
PAI-01144,Roads,Madhya Pradesh,284.4,309.3,69,75,96.7,95.1,16,1,1,0,0,0,0.8,0
PAI-01145,Urban Transit,Gujarat,296.7,338.2,63,13,24.2,25.8,16,4,1,0,0,0,9.0,0
PAI-01146,Power,Karnataka,586.6,601.2,50,13,18.6,22.6,12,1,1,0,0,0,-1.6,1
PAI-01147,Railways,Uttar Pradesh,223.5,243.3,53,84,99.6,98.2,14,1,1,0,0,0,6.8,1
PAI-01148,Industrial Corridors,Karnataka,1959.5,2295.7,52,70,87.4,88.8,10,1,1,1,1,0,7.3,1
PAI-01149,Power,Tamil Nadu,111.3,114.8,52,12,27.1,18.8,11,1,0,0,0,1,-0.5,0
PAI-01150,Industrial Corridors,Maharashtra,49.7,53.1,39,56,100.0,100.0,7,1,0,1,0,0,3.5,0
PAI-01151,Urban Transit,Andhra Pradesh,218.1,236.8,26,72,93.0,69.0,8,1,0,1,0,0,7.0,0
PAI-01152,Roads,Uttar Pradesh,145.9,146.7,41,63,100.0,90.4,7,0,0,0,0,0,1.4,0
PAI-01153,Industrial Corridors,Maharashtra,464.5,494.6,51,68,96.4,89.2,10,0,1,1,0,0,2.2,1
PAI-01154,Railways,Tamil Nadu,191.1,204.6,73,59,88.0,85.2,15,3,0,0,0,0,7.8,1
PAI-01155,Ports,Jharkhand,633.7,655.1,60,31,50.4,34.4,13,0,1,0,0,0,-4.4,0
PAI-01156,Urban Transit,Gujarat,50.4,55.2,52,21,38.5,29.3,15,3,0,0,0,0,8.2,1
PAI-01157,Industrial Corridors,Haryana,98.6,101.6,59,36,53.2,51.4,13,0,1,0,0,0,-9.3,0
PAI-01158,Roads,Jharkhand,678.8,707.6,37,58,91.0,100.0,8,0,1,0,0,0,1.4,0
PAI-01159,Airports,West Bengal,121.1,127.7,40,41,91.3,88.3,8,0,0,0,0,0,-3.5,0
PAI-01160,Water & Sanitation,Jharkhand,345.0,371.5,47,30,59.3,68.7,14,0,1,1,0,1,-4.8,1
PAI-01161,Roads,Haryana,118.0,125.2,43,10,11.0,6.8,11,2,0,0,0,0,8.9,0
PAI-01162,Power,Jharkhand,54.3,57.7,36,11,39.6,42.6,7,1,0,1,0,0,13.0,0
PAI-01163,Roads,Tamil Nadu,37.3,43.3,57,24,55.9,45.8,16,2,1,0,0,1,7.6,1
PAI-01164,Ports,Telangana,298.3,310.7,49,71,90.7,96.0,12,0,1,0,0,0,1.0,0
PAI-01165,Roads,Jharkhand,139.4,152.3,26,74,100.0,99.1,6,0,1,0,0,1,1.7,0
PAI-01166,Industrial Corridors,Maharashtra,172.2,176.0,18,84,90.7,90.7,5,0,1,0,0,0,-6.5,0
PAI-01167,Power,Haryana,200.6,202.7,12,66,100.0,100.0,4,1,0,1,0,0,4.7,1
PAI-01168,Airports,Tamil Nadu,420.6,460.7,58,56,100.0,97.2,14,2,0,1,0,0,12.3,0
PAI-01169,Ports,Jharkhand,1121.4,1167.4,51,6,15.9,13.5,10,0,0,0,0,0,-2.0,0
PAI-01170,Urban Transit,Kerala,104.1,106.8,27,24,90.1,78.5,8,1,0,0,0,0,-2.9,0
PAI-01171,Airports,Karnataka,172.3,180.7,57,81,92.5,88.2,13,2,0,0,0,0,11.1,0
PAI-01172,Industrial Corridors,Andhra Pradesh,508.9,509.5,34,42,93.4,96.4,10,0,1,0,0,0,0.5,0
PAI-01173,Roads,Rajasthan,346.8,371.3,62,51,84.3,83.8,17,0,1,0,0,1,-5.5,1
PAI-01174,Industrial Corridors,Bihar,1272.4,1420.0,35,38,100.0,91.2,8,2,0,0,0,1,6.7,1
PAI-01175,Roads,Odisha,214.7,227.1,40,66,97.8,100.0,9,0,1,1,0,0,-1.5,1
PAI-01176,Industrial Corridors,Jharkhand,32.6,33.9,34,37,100.0,98.6,9,1,0,0,0,0,4.5,0
PAI-01177,Railways,Telangana,229.4,244.0,25,43,100.0,100.0,5,0,1,1,0,0,-7.1,0
PAI-01178,Roads,Madhya Pradesh,114.2,120.7,50,21,36.5,42.2,10,0,0,0,1,0,-12.0,1
PAI-01179,Roads,Gujarat,429.7,449.7,56,10,11.9,11.9,12,0,0,0,0,1,3.5,0
PAI-01180,Railways,Uttar Pradesh,1137.9,1164.8,41,70,98.7,100.0,8,0,0,0,0,0,-2.7,0
PAI-01181,Railways,Gujarat,451.1,492.5,79,67,84.1,99.3,18,1,1,1,0,0,3.0,1
PAI-01182,Railways,Gujarat,161.8,177.1,45,76,100.0,100.0,13,2,0,0,1,0,11.9,1
PAI-01183,Industrial Corridors,Uttar Pradesh,107.8,109.7,27,17,67.7,69.8,4,1,0,0,0,0,6.8,0
PAI-01184,Urban Transit,Tamil Nadu,54.6,59.3,70,23,48.4,54.9,15,4,0,0,0,0,9.6,1
PAI-01185,Water & Sanitation,Kerala,455.3,472.2,30,81,99.4,97.3,5,0,0,1,0,0,1.1,0
PAI-01186,Ports,Gujarat,405.1,422.1,49,11,23.0,15.5,12,0,1,0,0,0,1.1,1
PAI-01187,Industrial Corridors,Karnataka,371.1,422.6,38,82,88.1,85.7,12,3,0,0,0,0,14.4,1
PAI-01188,Roads,Madhya Pradesh,735.5,777.8,33,68,100.0,100.0,10,0,1,0,0,0,-7.4,0
PAI-01189,Urban Transit,Karnataka,210.3,224.0,58,55,100.0,92.6,16,3,0,0,0,0,6.2,0
PAI-01190,Water & Sanitation,Telangana,108.3,108.6,39,47,100.0,100.0,8,1,0,0,0,0,4.4,0
PAI-01191,Water & Sanitation,Uttar Pradesh,236.9,246.5,43,45,83.8,89.4,13,1,0,0,1,0,-2.6,0
PAI-01192,Roads,Rajasthan,176.9,212.9,19,54,100.0,96.6,4,2,0,0,1,1,11.8,1
PAI-01193,Water & Sanitation,Odisha,94.0,94.7,36,66,96.5,91.3,10,0,0,0,0,0,3.8,1
PAI-01194,Airports,West Bengal,300.7,314.6,69,53,77.8,80.6,13,0,0,0,0,0,6.3,0
PAI-01195,Urban Transit,Odisha,237.8,243.3,42,65,100.0,97.3,13,1,0,0,0,0,11.2,0
PAI-01196,Water & Sanitation,Haryana,398.1,410.2,12,26,94.6,91.1,4,1,1,0,0,0,-1.0,0
PAI-01197,Water & Sanitation,Gujarat,295.5,301.4,38,51,93.2,86.0,14,1,1,0,0,0,5.7,1
PAI-01198,Water & Sanitation,Haryana,1012.6,1038.8,35,84,100.0,99.7,9,1,0,1,0,0,2.9,0
PAI-01199,Airports,Jharkhand,77.4,79.4,65,34,53.1,46.0,17,0,1,0,0,0,-1.8,0
PAI-01200,Power,Odisha,116.4,119.4,45,17,22.9,41.1,6,0,0,0,0,0,-3.2,0
PAI-01201,Railways,Kerala,94.9,112.3,49,80,100.0,90.6,15,1,1,1,1,1,1.8,1
PAI-01202,Railways,Madhya Pradesh,311.7,369.8,31,39,98.5,83.4,7,2,1,0,1,0,1.8,1
PAI-01203,Urban Transit,Andhra Pradesh,775.8,838.8,52,20,43.8,46.1,9,1,0,0,1,0,5.1,1
PAI-01204,Railways,Madhya Pradesh,699.8,780.6,43,34,90.7,79.5,10,4,1,0,0,0,14.8,1
PAI-01205,Water & Sanitation,Andhra Pradesh,189.8,197.2,36,11,41.3,40.1,10,2,0,0,0,0,6.0,1
PAI-01206,Railways,Madhya Pradesh,571.3,596.2,36,56,99.4,100.0,5,0,1,0,0,0,-1.3,1
PAI-01207,Power,Madhya Pradesh,295.2,298.9,56,75,95.7,99.0,17,0,0,0,0,0,-12.0,1
PAI-01208,Airports,Madhya Pradesh,310.4,325.2,12,77,91.0,86.8,4,1,0,0,0,0,5.8,0
PAI-01209,Urban Transit,Kerala,173.3,177.5,52,43,79.9,77.7,12,1,0,0,0,0,5.7,0
PAI-01210,Water & Sanitation,Odisha,311.2,340.3,61,75,100.0,100.0,13,0,1,1,0,0,-1.8,0
PAI-01211,Railways,Jharkhand,199.2,234.1,36,83,100.0,90.4,10,1,1,1,1,0,8.0,1
PAI-01212,Roads,Haryana,252.1,267.2,52,9,18.7,20.1,15,1,1,1,0,0,4.1,0
PAI-01213,Water & Sanitation,Maharashtra,125.1,128.3,23,21,83.8,83.4,6,3,0,0,0,0,9.0,0
PAI-01214,Ports,Gujarat,389.1,405.9,58,21,52.5,48.5,14,2,0,0,0,0,13.5,0
PAI-01215,Railways,Madhya Pradesh,291.6,308.5,54,27,44.9,49.4,12,1,1,0,0,0,8.1,0
PAI-01216,Power,Gujarat,1050.5,1191.8,66,50,80.0,79.4,15,1,0,0,1,1,5.0,0
PAI-01217,Industrial Corridors,Andhra Pradesh,241.8,241.8,44,31,60.8,41.3,10,0,0,1,0,0,3.9,0
PAI-01218,Roads,Rajasthan,189.7,204.2,47,50,89.1,89.5,13,2,0,0,0,1,5.8,0
PAI-01219,Water & Sanitation,Madhya Pradesh,635.9,680.5,58,78,100.0,100.0,21,2,0,0,0,0,12.1,1
PAI-01220,Urban Transit,Haryana,261.1,273.1,57,26,45.4,71.8,17,4,0,0,0,1,3.8,0
PAI-01221,Water & Sanitation,Odisha,790.4,810.7,20,33,94.4,84.1,8,0,0,0,0,1,-6.7,0
PAI-01222,Urban Transit,Gujarat,88.4,95.3,38,6,13.3,8.2,9,2,0,0,0,1,14.1,0
PAI-01223,Roads,Maharashtra,149.1,157.8,40,47,92.3,80.6,13,0,0,0,0,0,3.9,1
PAI-01224,Railways,Rajasthan,74.0,78.1,15,66,95.0,74.7,4,1,0,0,0,0,4.9,0
PAI-01225,Airports,Haryana,1168.3,1255.6,43,77,95.7,100.0,10,0,1,1,0,0,-1.1,0
PAI-01226,Roads,West Bengal,1215.5,1312.8,36,63,100.0,84.0,9,0,1,0,1,0,-1.0,1
PAI-01227,Urban Transit,Andhra Pradesh,687.5,690.0,20,9,49.5,43.2,4,0,0,0,0,0,4.7,0
PAI-01228,Urban Transit,Bihar,222.3,224.4,71,62,93.4,91.8,17,1,0,0,0,0,0.6,0
PAI-01229,Industrial Corridors,Kerala,165.9,178.6,33,77,100.0,100.0,8,1,1,0,1,0,-1.3,0
PAI-01230,Roads,Rajasthan,112.1,117.6,41,70,92.9,88.3,13,0,1,0,0,0,-0.1,1
PAI-01231,Power,Jharkhand,1614.8,1671.9,53,76,82.6,79.4,13,0,0,0,0,0,2.1,0
PAI-01232,Railways,Odisha,130.8,134.4,67,25,45.5,48.1,12,1,0,0,0,0,4.6,1
PAI-01233,Urban Transit,Kerala,159.7,162.1,46,28,57.2,62.4,12,1,0,0,0,0,-0.6,0
PAI-01234,Roads,Jharkhand,677.4,697.4,12,46,94.4,93.4,4,0,0,0,0,0,3.1,0
PAI-01235,Power,Jharkhand,266.0,313.3,34,39,86.7,86.6,7,2,1,0,1,1,-0.1,0
PAI-01236,Roads,Kerala,158.2,165.4,12,56,94.7,100.0,4,1,0,0,0,1,12.2,1
PAI-01237,Power,Tamil Nadu,167.0,176.4,14,56,100.0,93.9,4,0,0,0,0,0,0.4,0
PAI-01238,Roads,Andhra Pradesh,1067.2,1113.9,41,23,51.7,52.9,9,0,1,0,0,0,0.6,0
PAI-01239,Water & Sanitation,Tamil Nadu,410.2,437.2,51,24,52.4,44.0,14,2,0,0,0,0,8.6,0
PAI-01240,Roads,Gujarat,173.9,181.7,40,79,77.5,67.4,6,1,0,0,0,0,2.1,0
PAI-01241,Industrial Corridors,Gujarat,130.2,136.4,33,26,64.4,55.1,7,0,0,0,0,1,-0.1,0
PAI-01242,Water & Sanitation,Telangana,147.1,153.9,51,25,45.3,45.9,13,0,0,0,0,0,1.4,0
PAI-01243,Airports,Gujarat,107.1,112.5,45,76,100.0,100.0,13,4,0,0,0,0,8.5,0
PAI-01244,Urban Transit,Madhya Pradesh,255.3,267.0,37,13,58.2,60.2,6,3,0,0,0,0,6.3,1
PAI-01245,Industrial Corridors,Kerala,122.3,141.7,51,13,20.7,11.8,12,2,1,0,0,1,0.4,1
PAI-01246,Water & Sanitation,Karnataka,124.3,129.4,61,19,23.9,26.6,16,1,0,0,0,0,10.8,1
PAI-01247,Urban Transit,Bihar,394.6,410.0,63,61,100.0,100.0,15,0,0,0,0,0,-1.8,0
PAI-01248,Water & Sanitation,Jharkhand,87.7,99.2,35,81,100.0,82.6,10,2,0,0,1,1,6.3,1
PAI-01249,Railways,Uttar Pradesh,865.8,909.3,37,75,100.0,88.3,9,1,0,1,0,0,4.9,0
PAI-01250,Urban Transit,Kerala,154.6,163.4,32,31,96.4,97.5,7,1,0,0,0,1,3.0,0
PAI-01251,Roads,Tamil Nadu,145.1,157.1,47,12,30.4,24.5,10,2,1,0,0,0,-0.4,1
PAI-01252,Railways,Kerala,733.1,744.5,23,63,91.7,88.6,13,0,0,0,0,0,-4.2,0
PAI-01253,Airports,Karnataka,173.1,177.6,33,17,50.1,63.4,8,2,0,0,0,0,3.1,0
PAI-01254,Water & Sanitation,Maharashtra,212.6,238.7,29,32,84.8,94.9,7,2,0,1,0,0,14.3,1
PAI-01255,Urban Transit,Karnataka,378.0,424.9,57,34,75.2,71.9,13,4,0,0,0,0,13.7,1
PAI-01256,Water & Sanitation,Maharashtra,124.2,137.5,31,33,100.0,100.0,6,1,1,0,0,1,-3.3,1
PAI-01257,Industrial Corridors,Gujarat,156.5,165.2,64,30,52.4,45.8,16,0,0,0,1,0,-0.9,0
PAI-01258,Ports,Kerala,396.8,430.9,22,40,87.4,100.0,8,1,1,0,0,0,-2.4,1
PAI-01259,Industrial Corridors,Rajasthan,128.0,133.5,48,58,100.0,100.0,13,1,0,1,0,0,8.7,1
PAI-01260,Water & Sanitation,Jharkhand,214.7,220.6,42,48,89.8,100.0,12,0,0,0,0,0,2.4,0
PAI-01261,Urban Transit,Maharashtra,78.2,81.6,28,8,17.4,24.2,5,1,0,0,0,0,-0.8,0
PAI-01262,Power,Andhra Pradesh,256.7,261.0,64,78,100.0,92.6,19,0,0,0,0,0,-4.9,1
PAI-01263,Airports,Maharashtra,312.5,312.5,39,10,29.2,34.4,13,2,0,0,0,0,1.4,1
PAI-01264,Railways,Tamil Nadu,222.4,233.9,37,49,93.5,78.6,8,0,1,0,0,0,-3.5,1
PAI-01265,Roads,Karnataka,312.5,328.0,35,57,91.9,95.6,10,1,0,0,0,0,2.9,0
PAI-01266,Roads,Rajasthan,188.3,195.2,70,81,80.1,78.6,21,0,0,0,0,0,0.4,0
PAI-01267,Power,Telangana,99.0,103.7,52,8,11.7,3.6,11,1,0,0,0,0,3.6,1
PAI-01268,Power,Bihar,398.6,411.3,35,58,100.0,98.6,9,1,0,0,0,0,1.5,1
PAI-01269,Power,Uttar Pradesh,709.4,718.9,43,29,48.3,49.9,10,0,0,0,0,0,-4.0,0
PAI-01270,Railways,Gujarat,83.8,86.4,79,76,84.3,81.7,14,1,0,0,0,0,8.6,0
PAI-01271,Railways,Rajasthan,482.5,493.6,49,60,100.0,100.0,12,0,1,0,0,0,0.3,0
PAI-01272,Water & Sanitation,Uttar Pradesh,178.5,206.4,38,80,100.0,98.6,10,1,1,0,1,0,5.2,0
PAI-01273,Power,Madhya Pradesh,1897.9,1958.2,53,34,73.0,75.0,11,1,0,0,0,0,14.3,1
PAI-01274,Urban Transit,Odisha,1274.4,1314.1,51,38,60.2,52.3,15,1,0,0,0,1,2.7,0
PAI-01275,Roads,Kerala,464.5,537.2,69,28,32.8,18.7,16,4,1,0,1,0,6.1,1
PAI-01276,Railways,Odisha,607.9,635.5,55,50,91.7,100.0,13,1,0,0,0,0,0.1,0
PAI-01277,Roads,Andhra Pradesh,150.9,165.6,72,47,61.2,69.0,20,2,1,0,0,0,10.4,1
PAI-01278,Urban Transit,Karnataka,149.2,152.7,49,28,60.4,59.2,12,1,0,0,0,0,3.3,0
PAI-01279,Ports,Maharashtra,106.8,121.5,25,55,96.4,99.7,7,2,1,0,1,0,3.4,1
PAI-01280,Water & Sanitation,Uttar Pradesh,285.9,295.4,12,31,96.1,87.4,4,0,0,0,0,0,1.4,0
PAI-01281,Power,Maharashtra,454.6,457.1,53,33,77.1,69.3,16,1,0,0,0,0,6.4,0
PAI-01282,Roads,Telangana,204.5,208.1,63,33,61.5,64.8,17,1,0,0,0,0,-0.4,1
PAI-01283,Roads,Andhra Pradesh,293.1,304.3,23,50,97.2,92.4,6,1,0,0,0,0,1.4,0
PAI-01284,Railways,Rajasthan,626.9,699.0,29,11,25.5,44.9,9,1,1,0,1,0,9.5,0
PAI-01285,Industrial Corridors,Uttar Pradesh,77.8,81.9,40,32,73.3,78.7,9,0,0,0,0,1,2.2,0
PAI-01286,Roads,Rajasthan,567.0,635.9,47,73,99.1,99.7,14,1,1,0,0,1,1.9,1
PAI-01287,Roads,Odisha,81.5,85.6,41,80,96.2,80.3,13,0,0,1,0,0,0.6,0
PAI-01288,Roads,Maharashtra,842.0,912.4,12,63,97.5,100.0,4,1,0,0,1,0,9.4,1
PAI-01289,Ports,Maharashtra,94.6,103.0,54,77,100.0,100.0,13,2,1,0,0,0,8.6,0
PAI-01290,Railways,Bihar,175.1,175.1,31,68,92.4,81.6,9,0,0,0,0,0,-2.9,0
PAI-01291,Roads,Jharkhand,96.4,106.6,27,66,85.6,85.5,8,3,0,1,0,0,3.7,0
PAI-01292,Railways,Telangana,358.5,359.1,34,51,97.7,93.7,4,0,0,0,0,0,1.3,0
PAI-01293,Roads,Tamil Nadu,136.6,153.7,32,57,92.2,93.3,13,0,1,1,0,0,5.2,0
PAI-01294,Railways,Maharashtra,287.7,298.4,48,9,12.6,24.2,12,0,1,0,0,0,-1.2,0
PAI-01295,Railways,Rajasthan,179.1,204.9,27,46,100.0,100.0,7,1,1,1,0,0,5.4,1
PAI-01296,Industrial Corridors,Karnataka,467.4,486.4,22,23,100.0,92.4,8,1,0,0,0,0,-6.6,0
PAI-01297,Industrial Corridors,Rajasthan,733.1,783.5,18,56,100.0,97.7,5,1,0,0,0,0,-2.0,0
PAI-01298,Urban Transit,Andhra Pradesh,139.8,142.0,42,73,87.2,84.9,9,0,0,0,0,0,0.3,0
PAI-01299,Power,Maharashtra,418.9,421.3,62,9,10.0,4.3,15,0,0,0,0,0,-2.2,1
PAI-01300,Industrial Corridors,Bihar,361.4,361.4,37,7,21.4,25.6,7,2,0,0,0,0,-6.4,0
PAI-01301,Airports,Uttar Pradesh,194.6,205.3,33,14,44.1,43.2,9,1,0,0,0,1,2.6,0
PAI-01302,Railways,West Bengal,2104.3,2289.8,64,15,16.1,9.6,12,2,1,0,0,0,0.6,1
PAI-01303,Railways,Tamil Nadu,93.7,98.7,64,34,67.2,66.9,15,3,0,0,0,0,14.4,0
PAI-01304,Urban Transit,Andhra Pradesh,98.2,104.3,28,49,93.0,90.7,10,0,0,0,0,1,-3.0,0
PAI-01305,Power,Karnataka,548.7,585.8,41,63,93.2,99.8,12,1,1,0,0,0,6.0,0
PAI-01306,Ports,Andhra Pradesh,407.7,410.9,44,66,91.6,98.7,15,1,0,0,0,0,10.6,1
PAI-01307,Industrial Corridors,West Bengal,256.7,288.6,46,21,50.0,46.7,10,2,0,0,1,0,3.9,1
PAI-01308,Railways,Uttar Pradesh,242.7,245.8,31,30,98.6,92.6,8,0,1,0,0,0,1.2,0
PAI-01309,Roads,West Bengal,322.5,322.6,31,72,90.5,89.2,4,1,0,1,0,0,3.5,1
PAI-01310,Urban Transit,Jharkhand,120.3,123.9,38,33,86.2,79.2,9,0,1,0,0,0,0.9,0
PAI-01311,Roads,Bihar,138.4,154.8,36,25,61.1,62.1,9,1,0,0,1,1,2.3,1
PAI-01312,Roads,Madhya Pradesh,178.3,184.2,55,53,97.8,89.8,9,1,0,0,0,0,11.3,0
PAI-01313,Railways,Odisha,359.6,394.7,34,77,93.9,100.0,11,2,1,0,0,0,2.7,0
PAI-01314,Industrial Corridors,Madhya Pradesh,89.0,93.7,40,56,100.0,94.3,5,0,1,0,0,0,6.0,0
PAI-01315,Power,Jharkhand,329.7,341.2,33,75,96.4,100.0,8,0,0,0,0,0,4.4,0
PAI-01316,Railways,Haryana,116.4,130.1,28,43,96.2,94.5,8,1,1,0,1,0,1.7,0
PAI-01317,Ports,Kerala,204.0,214.9,57,6,28.8,28.1,16,1,0,0,0,1,1.5,0
PAI-01318,Roads,Telangana,261.0,297.2,42,84,98.7,76.3,13,3,1,0,0,0,6.4,1
PAI-01319,Roads,Tamil Nadu,166.0,180.1,60,59,100.0,94.4,16,0,1,0,0,1,1.7,1
PAI-01320,Airports,Odisha,208.2,216.8,46,15,34.9,38.7,11,0,0,0,0,0,-3.4,0
PAI-01321,Industrial Corridors,Gujarat,224.0,257.0,30,6,24.6,32.7,6,4,1,0,0,0,13.7,1
PAI-01322,Railways,Odisha,93.5,93.9,51,67,100.0,100.0,15,0,0,0,0,0,-5.6,0
PAI-01323,Railways,Maharashtra,149.9,157.6,13,26,94.3,93.8,6,2,0,0,0,0,13.5,0
PAI-01324,Roads,Telangana,492.4,503.7,65,13,18.8,8.5,18,1,0,0,0,0,2.6,1
PAI-01325,Roads,Madhya Pradesh,624.3,658.7,27,62,92.5,73.6,6,1,0,0,0,1,-2.9,1
PAI-01326,Urban Transit,Jharkhand,375.0,378.0,69,62,95.4,96.4,19,0,0,0,0,0,6.3,0
PAI-01327,Power,Kerala,168.8,168.8,62,70,90.0,96.6,15,1,0,0,0,0,-3.4,0
PAI-01328,Industrial Corridors,Haryana,538.6,626.8,53,74,100.0,100.0,10,0,1,1,1,0,4.4,1
PAI-01329,Airports,Kerala,363.5,410.8,33,30,88.7,85.5,13,2,1,1,0,0,0.2,0
PAI-01330,Urban Transit,Jharkhand,314.6,322.8,50,14,19.9,16.0,11,1,0,0,0,0,4.5,0
PAI-01331,Urban Transit,Odisha,263.6,272.8,56,50,93.0,100.0,14,1,0,0,0,0,-4.9,0
PAI-01332,Railways,Madhya Pradesh,83.4,90.2,42,62,100.0,95.7,12,1,0,0,0,1,1.5,0
PAI-01333,Urban Transit,Uttar Pradesh,116.8,116.9,23,17,77.0,93.6,4,1,0,0,0,0,2.8,0
PAI-01334,Power,Odisha,100.2,101.8,21,9,47.0,46.4,8,0,0,0,0,0,4.0,1
PAI-01335,Water & Sanitation,Karnataka,46.7,53.7,12,29,100.0,100.0,4,2,1,0,0,1,9.4,1
PAI-01336,Urban Transit,Telangana,321.5,348.2,50,39,65.5,63.1,13,1,0,1,1,0,1.1,0
PAI-01337,Roads,Karnataka,514.5,563.1,30,23,85.1,94.6,9,1,1,0,0,0,-3.3,0
PAI-01338,Roads,Rajasthan,90.2,92.9,49,21,50.6,54.7,12,1,0,0,0,0,6.2,1
PAI-01339,Urban Transit,Gujarat,272.0,288.1,46,55,100.0,100.0,12,0,0,0,0,1,4.4,1
PAI-01340,Roads,Kerala,389.0,439.9,60,79,86.1,73.0,18,1,1,0,1,0,3.2,0
PAI-01341,Ports,Maharashtra,374.4,399.8,27,62,100.0,95.4,9,3,0,1,0,0,2.9,0
PAI-01342,Railways,Maharashtra,110.3,117.8,60,75,95.1,100.0,14,1,1,0,0,0,-1.3,1
PAI-01343,Roads,Haryana,197.6,234.0,49,52,94.5,99.7,15,2,1,0,1,1,0.7,1
PAI-01344,Power,Gujarat,348.3,352.9,42,8,9.2,20.8,10,2,0,0,0,0,9.4,0
PAI-01345,Railways,Gujarat,291.7,322.5,43,11,19.6,5.5,10,1,0,0,1,0,-1.1,1
PAI-01346,Railways,Haryana,657.4,657.4,36,32,73.9,75.8,10,0,0,0,0,0,-6.0,0
PAI-01347,Railways,Bihar,109.5,111.9,61,73,89.5,96.0,16,1,0,1,0,0,4.3,1
PAI-01348,Ports,Haryana,526.4,570.1,42,53,100.0,100.0,9,0,1,1,0,0,4.8,1
PAI-01349,Power,Karnataka,112.1,117.0,47,31,79.7,71.5,14,1,0,0,0,0,2.1,1
PAI-01350,Railways,Jharkhand,306.5,308.3,34,44,88.2,93.2,9,0,0,0,0,0,0.6,0
PAI-01351,Water & Sanitation,Maharashtra,151.6,154.4,73,40,61.1,57.8,17,1,0,0,0,0,-1.3,1
PAI-01352,Water & Sanitation,Andhra Pradesh,71.1,76.3,46,77,92.6,91.3,13,1,1,1,0,0,3.5,1
PAI-01353,Railways,Bihar,720.9,720.9,12,74,100.0,91.4,4,0,0,0,0,0,-4.1,0
PAI-01354,Urban Transit,Kerala,1074.6,1095.6,58,45,84.1,86.2,14,2,0,0,0,0,12.8,0
PAI-01355,Urban Transit,Telangana,464.4,473.6,44,6,1.0,9.0,10,1,0,0,0,0,3.4,1
PAI-01356,Power,Telangana,211.9,213.9,68,16,28.2,33.5,18,2,0,1,0,0,3.8,1
PAI-01357,Airports,Karnataka,63.5,65.7,12,77,100.0,93.2,5,2,0,0,0,0,10.9,0
PAI-01358,Roads,Rajasthan,486.2,522.2,55,64,97.0,100.0,14,1,0,1,0,0,6.8,0
PAI-01359,Water & Sanitation,Jharkhand,96.5,99.9,43,36,92.9,77.6,11,0,0,0,0,0,-3.3,0
PAI-01360,Railways,West Bengal,127.9,127.9,41,42,97.7,100.0,11,0,1,0,0,0,-7.9,0
PAI-01361,Ports,Uttar Pradesh,1582.4,1642.5,32,33,100.0,100.0,8,0,0,1,0,0,-2.0,0
PAI-01362,Water & Sanitation,Rajasthan,314.5,356.8,29,59,96.9,100.0,9,3,0,0,0,1,7.8,1
PAI-01363,Ports,Bihar,2074.2,2334.1,25,54,92.8,95.0,4,2,1,1,0,0,2.3,1
PAI-01364,Water & Sanitation,Andhra Pradesh,234.6,246.5,36,63,88.0,79.5,11,0,1,0,0,0,6.3,0
PAI-01365,Industrial Corridors,Maharashtra,60.0,64.3,38,69,91.1,89.8,9,0,0,1,1,0,2.5,0
PAI-01366,Ports,Gujarat,953.9,1123.1,74,67,92.3,89.0,20,2,1,0,1,0,12.5,1
PAI-01367,Roads,Karnataka,331.2,372.6,79,50,62.6,75.2,19,1,1,0,0,1,2.3,1
PAI-01368,Railways,Maharashtra,111.7,119.3,33,76,96.2,83.9,10,0,1,1,0,0,4.4,1
PAI-01369,Railways,Odisha,548.1,611.5,51,10,25.4,20.9,17,2,1,0,0,1,4.7,0
PAI-01370,Ports,Telangana,167.2,190.4,61,81,100.0,100.0,16,1,1,0,0,1,4.1,1
PAI-01371,Urban Transit,Kerala,149.1,168.9,28,31,100.0,99.1,9,5,0,1,0,1,8.3,1
PAI-01372,Power,Odisha,139.7,146.7,19,83,96.3,93.4,5,1,0,0,1,0,-0.3,0
PAI-01373,Roads,West Bengal,97.0,112.5,37,64,100.0,91.1,5,1,1,0,1,0,0.6,1
PAI-01374,Ports,Bihar,187.2,195.3,33,42,97.2,100.0,10,0,1,0,0,0,3.5,0
PAI-01375,Ports,Maharashtra,105.3,113.2,35,57,100.0,97.6,8,0,0,1,0,1,4.0,0
PAI-01376,Railways,Bihar,653.9,760.4,42,8,2.9,8.8,9,2,1,1,0,1,6.3,1
PAI-01377,Water & Sanitation,Maharashtra,986.5,997.7,34,13,38.4,25.3,7,0,0,0,0,0,0.4,0
PAI-01378,Railways,Maharashtra,467.3,467.3,50,33,76.4,85.7,14,0,1,0,0,0,-4.6,0
PAI-01379,Airports,Telangana,167.7,176.1,35,79,92.4,89.0,8,0,1,0,0,0,4.3,1
PAI-01380,Airports,West Bengal,181.3,182.7,60,27,47.4,35.3,13,0,0,0,0,0,-5.0,0
PAI-01381,Water & Sanitation,Tamil Nadu,68.6,69.6,34,10,26.1,38.9,6,1,0,0,0,1,-1.9,0
PAI-01382,Urban Transit,Bihar,130.8,137.8,13,16,94.0,100.0,4,0,0,0,0,1,-5.8,0
PAI-01383,Railways,Telangana,274.0,309.6,21,82,100.0,92.8,4,2,1,0,0,0,-0.8,1
